Nazwisko aktualne,Liczba
ŻURAWSKI,6531
SOWIŃSKI,6507
KLIMCZAK,6486
GOŁĘBIOWSKI,6473
CZYŻ,6463
ROSIŃSKI,6429
BIENIEK,6371
KUŚ,6355
GODLEWSKI,6350
GRUSZKA,6318
KRAWIEC,6305
AUGUSTYNIAK,6300
SKRZYPCZAK,6292
GROCHOWSKI,6267
PTAK,6249
PANEK,6230
GIL,6196
PRZYBYŁA,6193
RÓŻAŃSKI,6152
KULIK,6137
WINIARSKI,6127
KONOPKA,6125
KOMOROWSKI,6088
SIWEK,6058
ZAREMBA,6054
SŁOWIK,6053
CYBULSKI,6027
MELNYK,6001
SZCZEPANIK,5996
LEŚNIEWSKI,5992
GRZYB,5964
KŁOS,5936
KRZYŻANOWSKI,5915
MIELCZAREK,5902
CICHOŃ,5898
MŁYNARCZYK,5886
TOKARSKI,5886
ZARZYCKI,5886
GRACZYK,5883
KACZYŃSKI,5820
MIKOŁAJCZAK,5820
BUCZEK,5812
STAŃCZYK,5795
SZOSTAK,5784
CICHOCKI,5771
WĘGRZYN,5769
BIERNAT,5765
SZYMCZYK,5758
JUREK,5739
STRZELECKI,5720
SZCZYGIEŁ,5718
SKOWRON,5705
BARTKOWIAK,5695
MAĆKOWIAK,5673
BOGUSZ,5665
JANUS,5663
CIEŚLA,5655
GAWRON,5646
GĄSIOR,5640
FILIPIAK,5623
KUCHARCZYK,5618
KALETA,5563
KUBIK,5560
NIEWIADOMSKI,5556
KOSTRZEWA,5551
JANIAK,5534
KULA,5532
RAKOWSKI,5522
BAGIŃSKI,5514
SIENKIEWICZ,5514
KSIĄŻEK,5513
RZEPKA,5506
GAWLIK,5479
PAŁKA,5455
ZARĘBA,5426
RÓŻYCKI,5425
ANTCZAK,5402
FRĄCZEK,5393
MALEC,5381
BARTCZAK,5373
TRZCIŃSKI,5341
ŻEBROWSKI,5319
ROGALSKI,5307
DŁUGOSZ,5275
MIKULSKI,5274
BANASIAK,5268
KRÓLIKOWSKI,5262
HAJDUK,5245
ROGALA,5222
ROJEK,5208
LACH,5199
TKACZYK,5186
KISIEL,5175
BOREK,5165
GRZEGORCZYK,5159
STEC,5153
DOBOSZ,5132
GAWROŃSKI,5130
TROJANOWSKI,5116
MALISZEWSKI,5100
RYBICKI,5095
WĄSIK,5083
ŚLUSARCZYK,5071
RADOMSKI,5053
WITCZAK,5038
WOLNY,5035
MIKA,5014
ZABOROWSKI,5007
KMIECIK,4999
LIPSKI,4982
WALKOWIAK,4961
BIAŁAS,4944
PAWELEC,4940
GRZESIAK,4931
FRĄCKOWIAK,4919
SOKÓŁ,4907
KARWOWSKI,4901
GAŁĄZKA,4899
WNUK,4899
BOGUCKI,4893
KACZOROWSKI,4891
FRANKOWSKI,4873
BOCHENEK,4864
ZYGMUNT,4850
CICHY,4844
ŻMUDA,4829
PASTERNAK,4811
KWAŚNIEWSKI,4801
NAWROT,4792
WIĘCKOWSKI,4788
WÓJCICKI,4778
JUSZCZAK,4761
GAWEŁ,4739
MROCZEK,4734
PIETRAS,4731
JANAS,4719
DUDZIŃSKI,4713
ROSIAK,4675
KARAŚ,4669
LASOTA,4669
ŁAPIŃSKI,4669
FIJAŁKOWSKI,4664
MISIAK,4661
WOJTCZAK,4652
SKRZYPEK,4651
PIÓRKOWSKI,4647
WROŃSKI,4641
BUJAK,4639
KRYSIAK,4620
JĘDRZEJCZYK,4614
KOŁODZIEJSKI,4600
DĄBEK,4599
KUBACKI,4592
CZYŻEWSKI,4588
GRUSZCZYŃSKI,4585
PIWOWARCZYK,4579
GUTOWSKI,4569
BURZYŃSKI,4554
BOROWIEC,4535
SZAFRAŃSKI,4523
SOŁTYS,4521
MASŁOWSKI,4513
STELMACH,4512
JAGIEŁŁO,4505
JAGODZIŃSKI,4504
ŁUKASZEWSKI,4503
TARNOWSKI,4499
ZIELONKA,4491
ZAJĄCZKOWSKI,4476
CEBULA,4475
DZIUBA,4473
BOBER,4462
KRAKOWIAK,4460
KAŁUŻNY,4457
CYGAN,4455
BIELAWSKI,4442
LISIECKI,4440
ŁUKASIEWICZ,4440
WOŹNY,4436
WILCZEK,4427
SKOCZYLAS,4425
FALKOWSKI,4414
FILIPEK,4411
JURKIEWICZ,4401
KAŁUŻA,4400
SZCZEŚNIAK,4400
DRZEWIECKI,4397
PILARSKI,4395
PAKUŁA,4389
JAKUBIAK,4383
SKIBIŃSKI,4374
JĘDRZEJCZAK,4371
KĘDZIORA,4354
SOBIERAJ,4354
GĄSIOROWSKI,4344
DĘBOWSKI,4334
STRZELCZYK,4315
FLIS,4306
ROMANIUK,4303
RACZYŃSKI,4297
TWARDOWSKI,4296
KULIG,4295
STANEK,4286
GOŁĄB,4275
GUZIK,4274
MIERZEJEWSKI,4267
WASIAK,4262
KOVALCHUK,4261
GÓRNIAK,4252
MAJCHER,4252
WIĘCEK,4252
RUSIN,4249
KUBICA,4248
GÓRAL,4240
MATUSZAK,4212
MOTYKA,4205
WOLAK,4203
BARTOSIK,4191
BURY,4178
GRZYWACZ,4174
FLOREK,4172
BILSKI,4170
DROZDOWSKI,4158
SZWED,4156
WOJTAS,4154
PYTEL,4143
CHOLEWA,4131
CZAPLA,4127
KASZUBA,4121
STOLARCZYK,4121
NOWACZYK,4118
KRUPIŃSKI,4117
URBAŃCZYK,4104
PARTYKA,4095
BIELAK,4087
PACZKOWSKI,4085
KOPCZYŃSKI,4079
PROKOP,4074
