IMIĘ_PIERWSZE,PŁEĆ,LICZBA_WYSTĄPIEŃ
VIRA,KOBIETA,9879
JUDYTA,KOBIETA,9871
YEVHENIIA,KOBIETA,9753
ADELA,KOBIETA,9429
ANHELINA,KOBIETA,9383
NICOLA,KOBIETA,9196
NATASZA,KOBIETA,9043
DARYNA,KOBIETA,8881
JOWITA,KOBIETA,8826
VANESSA,KOBIETA,8778
MELANIA,KOBIETA,8687
ELENA,KOBIETA,8685
FRANCISZKA,KOBIETA,8565
APOLONIA,KOBIETA,8341
MARHARYTA,KOBIETA,8257
LESIA,KOBIETA,8145
MILANA,KOBIETA,8128
INGA,KOBIETA,8101
BIANKA,KOBIETA,7972
JESSICA,KOBIETA,7966
ADA,KOBIETA,7933
SOFIA,KOBIETA,7846
ROMANA,KOBIETA,7614
ALFREDA,KOBIETA,7604
ESTERA,KOBIETA,7464
KARYNA,KOBIETA,7457
YEVA,KOBIETA,7272
MARZENNA,KOBIETA,7244
ALISA,KOBIETA,7190
ZLATA,KOBIETA,7152
ULIANA,KOBIETA,7142
KIRA,KOBIETA,7100
MAYA,KOBIETA,7064
JULIANNA,KOBIETA,7062
LIDIIA,KOBIETA,7013
ELEONORA,KOBIETA,6985
OLESIA,KOBIETA,6748
EMMA,KOBIETA,6629
BERNADETTA,KOBIETA,6582
LILIA,KOBIETA,6469
RITA,KOBIETA,6453
MYROSLAVA,KOBIETA,6424
LUDWIKA,KOBIETA,6402
IDA,KOBIETA,6362
KSENIIA,KOBIETA,6247
ZENONA,KOBIETA,6152
ANETTA,KOBIETA,6018
KRISTINA,KOBIETA,6017
RUSLANA,KOBIETA,6006
FELICJA,KOBIETA,6003
DONATA,KOBIETA,5950
ARINA,KOBIETA,5927
LUDMIŁA,KOBIETA,5825
AMANDA,KOBIETA,5766
ALENA,KOBIETA,5737
WALENTYNA,KOBIETA,5650
WACŁAWA,KOBIETA,5644
VITA,KOBIETA,5640
DARIIA,KOBIETA,5639
GAJA,KOBIETA,5582
SOLOMIIA,KOBIETA,5406
ANASTASIYA,KOBIETA,5401
OTYLIA,KOBIETA,5248
ZENOBIA,KOBIETA,5201
YULIYA,KOBIETA,5190
ROMUALDA,KOBIETA,5184
ALBINA,KOBIETA,5130
HILDEGARDA,KOBIETA,5111
TATSIANA,KOBIETA,5011
IRMINA,KOBIETA,5003
GIZELA,KOBIETA,5001
VIKTORIA,KOBIETA,4863
VOLHA,KOBIETA,4788
KATSIARYNA,KOBIETA,4764
VLADYSLAVA,KOBIETA,4761
LILLA,KOBIETA,4717
ZOJA,KOBIETA,4679
SŁAWOMIRA,KOBIETA,4604
ANGELINA,KOBIETA,4508
ZHANNA,KOBIETA,4507
